Mixture,B.cell,Dendritic.cell,Eosinophils,Macrophage,Monocyte,Neutrophil,NK.cell,T.cell,Basophil,P-value,Correlation,RMSE,Absolute score (sig.score)
AT.Cell,3.82408003527599,6.23908862547631,7.14628649066581,8.05937206025111,0,0,0,10.2151766759767,7.76682481922772,0,0.18452708111541,1.10379225430506,43.2508287068736
Ciliated.cell,1.50867136365521,1.2851203919039,0,0.635908453513774,0.148741501727821,0,0.00797779875243725,0.223272371781701,0.478067966332908,0,0.43450574926964,0.937406446341078,4.28775984766776
Clara.Cell,2.79439139407952,2.27116729685541,0.0106612031367703,0,0,0,1.51912505385402,0,1.3936404018884,0,0.415471325758666,0.960527253819756,7.98898534981412
Dividing.cells,6.59529831931861,1.09297236282443,0,0,1.7694514225504,0,6.54216005552068,0,4.31275666251748,0,0.212494804728912,1.0968992691962,20.3126388227316
Endothelial.cell,8.71839221374015,2.69959458194159,0.212270027093479,2.34017033919355,0,0,3.81396479576163,1.90206783638129,2.16014966241869,0,0.595801668012855,0.816928675907559,21.8466094565304
Stromal.cell,0.349675235559038,1.21488579238549,3.54614444338737,2.15731601685502,0,0,0.54037130848963,3.24051919160778,2.15026257089296,0,0.466040038006243,0.917557859726248,13.1991745591773
