Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim22	0.293967706835192	0.127061592741634	0.494522604620885	0	0.0078981080386385	0.07654998776365	0	0	0	0.0703684432790562	1.24691789828411
Sim23	0	0.233464870092419	0.0521655303409351	0.171339907872242	0	0.119768166839004	0.209337564946625	0.213923959908776	0	0.0698315712657917	1.17617039909709
Sim24	0.156444700427122	0	0	0.0971548101460747	0.362770344413035	0.18790009311157	0	0.195730051902198	0	0.312188864495688	1.06043286406806
Sim25	0.0718810358372295	0.354755512284723	0.0655895902676802	0	0	0.251948657225111	0	0.255825204385257	0	0.0704646973822348	1.17891264404955
Sim26	0.284716018507263	0.161682995527882	0.0498205622943264	0.132745547977076	0	0	0.235665125923643	0.13536974976981	0	0.238823418752134	1.08229579466979
Sim27	0	0.265908509322249	0	0.205636098531526	0.0404110526435538	0	0.304172011953855	0.183872327548817	0	0.19446783298308	1.10546964220838
Sim28	0	0.117221729214576	0	0	0.326210830034542	0	0.261983594173122	0.29458384657776	0	0.3249203719215	1.04185058554371
Sim29	0	0.361952427069347	0.118278515412645	0	0.059029933195259	0	0.247651279650548	0.2130878446722	0	0.255063144099977	1.05993304363364
Sim30	0.488539746554168	0.0845811135495258	0	0.0874208528729831	0	0.0703222128541295	0.0324972400818848	0.236638834087308	0	0.253302435887336	1.061875230488
Sim31	0	0.379188044476394	0.055391126745197	0.152888691587913	0	0.100842435642839	0	0.311689701547658	0	0.165179581914241	1.11577855081411
Sim32	0.163602043228175	0.253831843407317	0	0.0916875973068	0.0559204692189139	0.0779756126815857	0.157860523190204	0.199121910967004	0	0.196451715622429	1.09929568374808
Sim33	0.0418615868409159	0.59053536540285	0.0752886260096182	0	0.0480282747013721	0	0.038840007211434	0.20544613983381	0	0.204509572004908	1.10969809622529
