Mixture	B.cell	Dendritic.cell	Macrophage	Neutrophil	T.cell	Basophil	Monocyte	NK.cell	P-value	Correlation	RMSE
B.cell	0.997847277035095	0	0	6.92761630539605e-05	0.000977255886355423	0.000276194178051664	0.000829996737443984	0	0	0.550826278023075	0.951712635049604
Dendritic.cell	0.00194041601279558	0.810797321248927	0	0.184980060919393	0.00207652187781033	0.000205679941074388	0	0	0	0.470921911279756	0.959751989351254
Macrophage	0	0	0.706326851459429	0.293673148540571	0	0	0	0	0	0.52207131027639	0.899589130588394
Neutrophil	0	0.000897551639014928	0.00284193747715048	0.994516657545256	0	0.000277867385880216	0	0.00146598595269822	0	0.474240479911219	1.04591544113203
T.cell	0	0.0463610338743758	0.0344524519877285	0	0.772897871443874	0.0231770598050987	0.115131620602967	0.00797996228595588	0	0.419554913390834	0.989049135509562
Basophil	0	0.0504379896824917	0	0.00641976967138686	0	0.885845941845845	0.038512122722683	0.0187841760775932	0	0.520994193219109	0.996706061137982
Monocyte	0	0	0.0559767176796982	0.148511175307821	0	0.0557527480127611	0.726179213886005	0.0135801451137153	0	0.386048611418106	0.998138213022133
NK.cell	0	0	0	0	0.252298735765684	0	0.000769129381974326	0.746932134852341	0	0.400602995249017	1.19137620126286
