Mixture	B.cell	Dendritic.cell	Macrophage	Neutrophil	T.cell	Basophil	Monocyte	NK.cell	P-value	Correlation	RMSE
Sim83	0.0131715699510989	0.140920299985533	0.0934426632565656	0.622334645690552	0	0.00881582065554677	0	0.121315000460704	0	0.286468217185277	1.07133254955378
Sim84	0.0489890780243222	0.230457386480258	0	0.109119380716478	0.481199389960058	0.055722526001053	0	0.07451223881783	0	0.0906564551073962	1.14864678658688
Sim85	0.387637598383667	0.238947379123648	0.279095549674594	0	0.0821220294268629	0.0121974433912279	0	0	0	0.273779961297326	1.02094079415678
Sim86	0.148881220572713	0.0992508339510663	0.202685792127787	0.274350175515717	0.173810742461596	0.10102123537112	0	0	0	0.326832773217448	0.98008581547729
Sim87	0	0.0712236718938736	0.054418047671469	0.673451432354006	0.0743377141114968	0.0957841175012447	0	0.0307850164679096	0	0.240265573402436	1.10990802011619
Sim88	0	0	0.335935828968983	0.298098533745455	0.294935727515061	0.0114740201922538	0.0595558895782468	0	0	0.0855154175172715	1.14137194436608
Sim89	0.759664461822504	0.00180907689545814	0.204057225730459	0	0.000352394955709905	0.0341168405958685	0	0	0	0.407468633272977	0.989885142216855
Sim90	0.850666007572475	0.040517881290675	0	0.00699735916154108	0.0255560500218099	0.0570960088209623	0.0191666931325362	0	0	0.272723208279154	1.08503841142872
Sim91	0	0.078230244299504	0.0844151759664093	0.339198429175138	0	0.0379858713566878	0.132354292241103	0.327815986961158	0	0.28689303452205	1.02876716979985
Sim92	0	0.171816411336949	0.435365608158454	0.209527802720814	0	0.147672170586029	0	0.0356180071977528	0	0.376786090334982	0.976265798901571
Sim93	0.155057011234807	0.103174297104593	0.301484189193811	0.195269827377206	0.0931629776244786	0.151851697465105	0	0	0	0.290084909916114	1.00047070257607
Sim94	0	0.0129744970636825	0.127918483105888	0	0	0.216883146597198	0.285865442096439	0.356358431136792	0	0.164237809839784	1.15304227628649
Sim95	0	0.131013672360492	0	0.227961772831513	0.191210347433638	0.417120546717778	0	0.0326936606565798	0	0.329684559451693	0.990921390042075
Sim96	0.103604655708858	0.176427219329795	0.259489275019233	0.135236701112262	0.211086599293328	0.114155549536525	0	0	0	0.263444380513688	1.01240473179672
Sim97	0	0.121277399025005	0.179087380533271	0	0.0522520359899009	0.55413700507181	0	0.0932461793800132	0	0.241721507080043	1.09219651690794
Sim98	0	0.0412429640480683	0.0167518598785353	0.403696086126302	0	0.183798106830881	0.354510983116214	0	0	0.249767775239105	1.07433570308335
Sim99	0	0.288819697869758	0	0	0	0	0.621539515738859	0.0896407863913834	0	0.215814482435755	1.09382998083892
Sim100	0.321152801073156	0.264060800571077	0	0.208839353873975	0.205947044481792	0	0	0	0	0.359914379871716	0.97051492206012
Sim101	0.198952160165988	0.417037495981195	0	0.0409409470520604	0.175532036705339	0.150016824120825	0	0.0175205359745925	0	0.017146980579157	1.13357587325086
Sim102	0	0.409067168592327	0.558455389429387	0.0217271703152875	0	0	0.0107502716629984	0	0	0.316988169785288	1.05904048393153
Sim103	0.155638897474808	0.157003615089637	0.295425620681327	0.00532409661219117	0.196141004322793	0.190466765819243	0	0	0	0.156383153162749	1.06133115405573
Sim104	0.0677937796300086	0	0.0361767637647657	0.880248255435027	0.00308374067685477	0.0112156712534184	0	0.00148178923992591	0	0.332290187091387	1.12173808728364
Sim105	0.377103840204673	0.0308450133826897	0	0.0175752479962932	0.185717201230743	0	0.388758697185602	0	0	0.208729853876989	1.02368106453842
Sim106	0.346168818857963	0	0.256591827858157	0	0	0.346574481268443	0	0.0506648720154372	0	0.0199440729918299	1.14484737510173
Sim107	0.337697554371385	0	0	0.190940696725618	0.00249264643429807	0.21340206485946	0.133134000955871	0.122333036653368	0	-0.00383869483499493	1.1372308672756
Sim108	0.125780925411749	0.325854764531741	0	0	0.327492881099645	0.190165722224281	0	0.0307057067325846	0	0.0255491721971979	1.13608058314547
Sim109	0.0907191175097755	0.144346721407445	0.117635462399274	0.0544338135404318	0.327211912499309	0	0.0900240362051117	0.175628936438654	0	0.345177190741098	0.978049837986592
Sim110	0	0	0.13541099691074	0.254243504275438	0.0454831145851317	0.11928288516578	0.147858978404882	0.297720520658029	0	0.217061454899159	1.06762247866057
Sim111	0.156303796874559	0.171079820502533	0.108704310484743	0.125834426519823	0.107693179113311	0.123460737004861	0	0.206923729500169	0	0.263414926334371	1.00753159338085
Sim112	0.17527055755635	0.0854850572359042	0.159072399934523	0	0.184783392957374	0.0928390459153527	0.263800910085509	0.0387486363149871	0	0.302113074618167	0.97487906016744
Sim113	0.0744814134615171	0.141777020654419	0.0302355529992326	0.228173462899703	0.423514854844534	0	0.101817695140595	0	0	0.329470867353297	0.981894528381346
Sim114	0.181553342653151	0.21742916336313	0.235737141111627	0.00971574433598011	0.300414932945606	0.0551496755905055	0	0	0	0.413179818624626	0.92688467691303
