Mixture,B cell,Dendritic cell,Macrophage,NK cell,T cell,Basophil,Monocyte,Neutrophil,P-value,Correlation,RMSE,Absolute score (sig.score)
Mammary_gland_nonimmune_tpm,5.59860183024155,6.46981872905455,0.605693708840196,0,17.5689866304579,1.16010251043454,3.04044643298166,0.619400082902868,0,0.544209209140614,0.861072359594464,35.0630499249133
1,5.59860183024155,6.46981872905455,0.605693708840196,0,17.5689866304579,1.16010251043454,3.04044643298166,0.619400082902868,0,0.544209209140614,0.861072359594464,35.0630499249133
2,5.59860183024155,6.46981872905455,0.605693708840196,0,17.5689866304579,1.16010251043454,3.04044643298166,0.619400082902868,0,0.544209209140614,0.861072359594464,35.0630499249133
3,5.59860183024155,6.46981872905455,0.605693708840196,0,17.5689866304579,1.16010251043454,3.04044643298166,0.619400082902868,0,0.544209209140614,0.861072359594464,35.0630499249133
4,5.59860183024155,6.46981872905455,0.605693708840196,0,17.5689866304579,1.16010251043454,3.04044643298166,0.619400082902868,0,0.544209209140614,0.861072359594464,35.0630499249133
5,5.59860183024155,6.46981872905455,0.605693708840196,0,17.5689866304579,1.16010251043454,3.04044643298166,0.619400082902868,0,0.544209209140614,0.861072359594464,35.0630499249133
6,5.59860183024155,6.46981872905455,0.605693708840196,0,17.5689866304579,1.16010251043454,3.04044643298166,0.619400082902868,0,0.544209209140614,0.861072359594464,35.0630499249133
7,5.59860183024155,6.46981872905455,0.605693708840196,0,17.5689866304579,1.16010251043454,3.04044643298166,0.619400082902868,0,0.544209209140614,0.861072359594464,35.0630499249133
8,5.59860183024155,6.46981872905455,0.605693708840196,0,17.5689866304579,1.16010251043454,3.04044643298166,0.619400082902868,0,0.544209209140614,0.861072359594464,35.0630499249133
9,5.59860183024155,6.46981872905455,0.605693708840196,0,17.5689866304579,1.16010251043454,3.04044643298166,0.619400082902868,0,0.544209209140614,0.861072359594464,35.0630499249133
