Mixture,B cell,Dendritic cell,Macrophage,Monocyte,Neutrophil,NK cell,T cell,Basophil,P-value,Correlation,RMSE,Absolute score (sig.score)
Spleen_nonimmune_tpm,45.8420341332045,0.0585467566112752,0,2.30670426715579,25.0220845194203,0,53.4372883963709,20.5687598800481,0,0.565138335085611,0.840472841084142,147.235417952811
1,45.8420341332045,0.0585467566112752,0,2.30670426715579,25.0220845194203,0,53.4372883963709,20.5687598800481,0,0.565138335085611,0.840472841084142,147.235417952811
2,45.8420341332045,0.0585467566112752,0,2.30670426715579,25.0220845194203,0,53.4372883963709,20.5687598800481,0,0.565138335085611,0.840472841084142,147.235417952811
3,45.8420341332045,0.0585467566112752,0,2.30670426715579,25.0220845194203,0,53.4372883963709,20.5687598800481,0,0.565138335085611,0.840472841084142,147.235417952811
4,45.8420341332045,0.0585467566112752,0,2.30670426715579,25.0220845194203,0,53.4372883963709,20.5687598800481,0,0.565138335085611,0.840472841084142,147.235417952811
5,45.8420341332045,0.0585467566112752,0,2.30670426715579,25.0220845194203,0,53.4372883963709,20.5687598800481,0,0.565138335085611,0.840472841084142,147.235417952811
6,45.8420341332045,0.0585467566112752,0,2.30670426715579,25.0220845194203,0,53.4372883963709,20.5687598800481,0,0.565138335085611,0.840472841084142,147.235417952811
7,45.8420341332045,0.0585467566112752,0,2.30670426715579,25.0220845194203,0,53.4372883963709,20.5687598800481,0,0.565138335085611,0.840472841084142,147.235417952811
8,45.8420341332045,0.0585467566112752,0,2.30670426715579,25.0220845194203,0,53.4372883963709,20.5687598800481,0,0.565138335085611,0.840472841084142,147.235417952811
9,45.8420341332045,0.0585467566112752,0,2.30670426715579,25.0220845194203,0,53.4372883963709,20.5687598800481,0,0.565138335085611,0.840472841084142,147.235417952811
