Mixture,B cell,Dendritic cell,Macrophage,Neutrophil,NK cell,T cell,Basophil,Monocyte,P-value,Correlation,RMSE,Absolute score (sig.score)
Liver_nonimmune_tpm,1.43065105643054,0.949352858947344,0,0,0.644516997229409,0.167121971588714,0.260568002421712,1.37892782771549,0,0.43227431705944,0.91456697604673,4.83113871433321
1,1.43065105643054,0.949352858947344,0,0,0.644516997229409,0.167121971588714,0.260568002421712,1.37892782771549,0,0.43227431705944,0.91456697604673,4.83113871433321
2,1.43065105643054,0.949352858947344,0,0,0.644516997229409,0.167121971588714,0.260568002421712,1.37892782771549,0,0.43227431705944,0.91456697604673,4.83113871433321
3,1.43065105643054,0.949352858947344,0,0,0.644516997229409,0.167121971588714,0.260568002421712,1.37892782771549,0,0.43227431705944,0.91456697604673,4.83113871433321
4,1.43065105643054,0.949352858947344,0,0,0.644516997229409,0.167121971588714,0.260568002421712,1.37892782771549,0,0.43227431705944,0.91456697604673,4.83113871433321
5,1.43065105643054,0.949352858947344,0,0,0.644516997229409,0.167121971588714,0.260568002421712,1.37892782771549,0,0.43227431705944,0.91456697604673,4.83113871433321
6,1.43065105643054,0.949352858947344,0,0,0.644516997229409,0.167121971588714,0.260568002421712,1.37892782771549,0,0.43227431705944,0.91456697604673,4.83113871433321
7,1.43065105643054,0.949352858947344,0,0,0.644516997229409,0.167121971588714,0.260568002421712,1.37892782771549,0,0.43227431705944,0.91456697604673,4.83113871433321
8,1.43065105643054,0.949352858947344,0,0,0.644516997229409,0.167121971588714,0.260568002421712,1.37892782771549,0,0.43227431705944,0.91456697604673,4.83113871433321
9,1.43065105643054,0.949352858947344,0,0,0.644516997229409,0.167121971588714,0.260568002421712,1.37892782771549,0,0.43227431705944,0.91456697604673,4.83113871433321
