betasim	betahat	difs	Method
0.267091056517365	0.267012311424901	-7.87450924644717e-05	MIXTURE
0	0	0	MIXTURE
0	0.308075084506534	0.308075084506534	MIXTURE
0	0	0	MIXTURE
0	0.0638941926340114	0.0638941926340114	MIXTURE
0	0	0	MIXTURE
0.222115188628572	0.184732768361592	-0.0373824202669798	MIXTURE
0.256456719523744	0.363281619935574	0.10682490041183	MIXTURE
0.37219423866308	0.371959608212856	-0.000234630450223983	MIXTURE
0	0	0	MIXTURE
0.237231666816196	0	-0.237231666816196	MIXTURE
0	0.0271552474269902	0.0271552474269902	MIXTURE
0.295281209526115	0.190818040340967	-0.104463169185148	MIXTURE
0.269978883763137	0.26997024323185	-8.64053128663e-06	MIXTURE
0	0.146104456990151	0.146104456990151	MIXTURE
0	0	0	MIXTURE
0.311481460472778	0.184004051292536	-0.127477409180242	MIXTURE
0.360136518778416	0.195157325063047	-0.164979193715369	MIXTURE
0	0	0	MIXTURE
0.192340294944975	0	-0.192340294944975	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.546608321032297	0.701794999507407	0.15518667847511	MIXTURE
0	0	0	MIXTURE
0	0.194593665542031	0.194593665542031	MIXTURE
0	0	0	MIXTURE
0.305213693148297	0.11804159328624	-0.187172099862057	MIXTURE
0.30304476851705	0.302732741993495	-0.000312026523554887	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.159783585344662	0	-0.159783585344662	MIXTURE
0.234538078605827	0.0656274095161049	-0.168910669089722	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.187524621322597	0.0910800156464241	-0.0964446056761729	MIXTURE
0	0	0	MIXTURE
0.282995891926592	0.1822972239196	-0.100698668006992	MIXTURE
0	0.143834922549615	0.143834922549615	MIXTURE
0.358860291208306	0.358888316661238	2.80254529318458e-05	MIXTURE
0	0	0	MIXTURE
0.218275071808475	0.106826851789964	-0.111448220018511	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.138289091673497	0.257762667347654	0.119473575674157	MIXTURE
0	0	0	MIXTURE
0.175388157173647	0.198036685209864	0.0226485280362169	MIXTURE
0	0	0	MIXTURE
0.108998800532579	0.181262989635992	0.0722641891034129	MIXTURE
0.148416832187951	0	-0.148416832187951	MIXTURE
0	0.0221172208379217	0.0221172208379217	MIXTURE
0	0	0	MIXTURE
0.215775221283256	0.149291169839841	-0.0664840514434146	MIXTURE
0.307737618816988	0.419724667962734	0.111987049145746	MIXTURE
0.428633240919901	0.390514122299367	-0.0381191186205336	MIXTURE
