betasim	betahat	difs	Method
0.276497612925117	0.187717670197729	-0.0887799427273878	MIXTURE
0.221754320955937	0.165449503394362	-0.0563048175615749	MIXTURE
0.478889297722193	0.354139060641293	-0.1247502370809	MIXTURE
0	0.0617744343020864	0.0617744343020864	MIXTURE
0.290441314544791	0.169673427478956	-0.120767887065835	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.232034530478588	0.017089330566062	-0.214945199912526	MIXTURE
0.592431473671873	0.62725486220052	0.0348233885286471	MIXTURE
0	0	0	MIXTURE
0	0.0333876369782878	0.0333876369782878	MIXTURE
0	0.15564785053503	0.15564785053503	MIXTURE
0	0.0624826072009496	0.0624826072009496	MIXTURE
0.48294611489841	0.378441987384811	-0.104504127513599	MIXTURE
0	0.117302919389954	0.117302919389954	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.560182008649693	0.671927510970664	0.111745502320971	MIXTURE
0.322505351255885	0.25919349457512	-0.0633118566807646	MIXTURE
0	0.0425900971273511	0.0425900971273511	MIXTURE
0.192067942448079	0.192312514325557	0.000244571877478283	MIXTURE
0.105799186873998	0.158631106903566	0.0528319200295681	MIXTURE
0	0	0	MIXTURE
0.428089419097741	0.490654592744088	0.0625651736463474	MIXTURE
0	0.11916550369101	0.11916550369101	MIXTURE
0.177614889760435	0.177720366041623	0.000105476281188316	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.128217890020171	0.128217890020171	MIXTURE
0.708777214880337	0.708784287821293	7.07294095603217e-06	MIXTURE
0	0.213860664870074	0.213860664870074	MIXTURE
0.0857195436601362	0.155303689167787	0.0695841455076512	MIXTURE
0	0	0	MIXTURE
0.117788856161783	0.00909537934965521	-0.108693476812128	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.401685543090181	0.309578991159411	-0.0921065519307699	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.257330286570936	0.121479934342122	-0.135850352228814	MIXTURE
0.139555313722383	0.125206838682453	-0.0143484750399302	MIXTURE
0.273115971728799	0.292462920849933	0.0193469491211344	MIXTURE
0	0.247802132933649	0.247802132933649	MIXTURE
0	0	0	MIXTURE
0	0.279595569210837	0.279595569210837	MIXTURE
0	0.151363116332633	0.151363116332633	MIXTURE
0.260487821455138	0.256524205780477	-0.00396361567466058	MIXTURE
0.141918696397804	0	-0.141918696397804	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.256724681449829	0.256724681449829	MIXTURE
0	0.050422903836975	0.050422903836975	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.225043190744336	0.225109480701205	6.62899568685815e-05	MIXTURE
0	0.0472965708471069	0.0472965708471069	MIXTURE
0.293892769317622	0.251766592960111	-0.0421261763575111	MIXTURE
0.763981398451647	0.764087700857116	0.000106302405468939	MIXTURE
0.131826711003146	0.117268420828293	-0.014558290174853	MIXTURE
0	0	0	MIXTURE
0	0.227785170835593	0.227785170835593	MIXTURE
0	0.143881839287703	0.143881839287703	MIXTURE
0	0.0955580404381778	0.0955580404381778	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.236623115083286	0.127285986260301	-0.109337128822985	MIXTURE
