betasim	betahat	difs	Method
0	0	0	MIXTURE
0.206379564463164	0	-0.206379564463164	MIXTURE
0	0.0315486297544587	0.0315486297544587	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.122668439025623	0.122668439025623	MIXTURE
0.366145558966861	0.44944616040923	0.0833006014423693	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.188773535900116	0.148912185090673	-0.0398613508094434	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.0285822299939244	0.0285822299939244	MIXTURE
0	0	0	MIXTURE
0.362278588500007	0.277262707755519	-0.0850158807444881	MIXTURE
0	0	0	MIXTURE
0.409901453488625	0	-0.409901453488625	MIXTURE
0.411200590475303	0.367951175160946	-0.0432494153143573	MIXTURE
0.215961167143329	0.345720174584679	0.12975900744135	MIXTURE
0	0	0	MIXTURE
0.296918084681749	0.234106048423642	-0.0628120362581067	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.207083149035635	0.25214166056699	0.0450585115313547	MIXTURE
0	0	0	MIXTURE
0.117945168008865	0	-0.117945168008865	MIXTURE
0.115544036865616	0.0236808280692692	-0.0918632087963468	MIXTURE
0	0	0	MIXTURE
0	0.101910512126155	0.101910512126155	MIXTURE
0	0.0430845971019132	0.0430845971019132	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.189602252771316	0.155912744296479	-0.0336895084748373	MIXTURE
0.613209698353256	0.276855888240684	-0.336353810112572	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.353215143934613	0.353215143934613	MIXTURE
0.418091825865865	0.27885019894878	-0.139241626917085	MIXTURE
0.368692897016558	0.224900847968083	-0.143792049048475	MIXTURE
0	0.0660083670248	0.0660083670248	MIXTURE
0.133194159243397	0.294407574742073	0.161213415498676	MIXTURE
0.091838755132954	0	-0.091838755132954	MIXTURE
0	0	0	MIXTURE
0.616327979814831	0.377160332800781	-0.23916764701405	MIXTURE
0	0.180853972490061	0.180853972490061	MIXTURE
0	0	0	MIXTURE
0.267767069964039	0.220799489553143	-0.0469675804108961	MIXTURE
0	0.275173126673173	0.275173126673173	MIXTURE
0	0.133592259225043	0.133592259225043	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.212060425567467	0	-0.212060425567467	MIXTURE
0.166603279127798	0.431351669494345	0.264748390366547	MIXTURE
0	0.106177508844759	0.106177508844759	MIXTURE
0.647911883178155	0.508391316062528	-0.139520567115627	MIXTURE
0.374304817066734	0.373609676286688	-0.000695140780045733	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.297210758281715	0.214269902278097	-0.0829408560036181	MIXTURE
0.260482464250198	0.325579792839729	0.0650973285895309	MIXTURE
0	0	0	MIXTURE
0.145366675305363	0	-0.145366675305363	MIXTURE
0.174576471164741	0.120004919527039	-0.0545715516377021	MIXTURE
0.316609399224323	0	-0.316609399224323	MIXTURE
0	0	0	MIXTURE
0.193440485729107	0.120204298244354	-0.0732361874847534	MIXTURE
0	0.059289161854237	0.059289161854237	MIXTURE
0.252665453339812	0.474838796166499	0.222173342826687	MIXTURE
0	0	0	MIXTURE
0.122822758867744	0.188526041052802	0.0657032821850583	MIXTURE
0.365289587215145	0.370623721385298	0.00533413417015288	MIXTURE
0.438357235427311	0.202715990711668	-0.235641244715643	MIXTURE
0.79891744263191	0.226596938761539	-0.572320503870371	MIXTURE
0	0	0	MIXTURE
0	0.251177267779716	0.251177267779716	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.30257014073861	0.00824624331372434	-0.294323897424886	MIXTURE
0	0.0921166398138514	0.0921166398138514	MIXTURE
0.338734476867725	0.449563233006316	0.110828756138591	MIXTURE
0	0.062370428706566	0.062370428706566	MIXTURE
0	0	0	MIXTURE
0.0878774471920615	0.345950541188914	0.258073093996852	MIXTURE
0.589579983023005	0.662679139814453	0.0730991567914477	MIXTURE
0.28793053785224	0.579273668476641	0.291343130624401	MIXTURE
0.202383638661647	0	-0.202383638661647	MIXTURE
0.215031222378214	0.127434060650898	-0.0875971617273157	MIXTURE
0.308428847198104	0.258068567948752	-0.0503602792493521	MIXTURE
0	0	0	MIXTURE
0	0.0261377091005816	0.0261377091005816	MIXTURE
0.274066050352149	0	-0.274066050352149	MIXTURE
0.224878859019377	0.198087763113393	-0.0267910959059844	MIXTURE
0	0	0	MIXTURE
0	0.36661674352332	0.36661674352332	MIXTURE
0.112281399593379	0	-0.112281399593379	MIXTURE
0.403365077838658	0	-0.403365077838658	MIXTURE
0.364402461537361	0.535783807492543	0.171381345955182	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.4928465656351	0.691637358040379	0.198790792405279	MIXTURE
0.24614427893768	0.120561606007724	-0.125582672929956	MIXTURE
0.308246905027904	0	-0.308246905027904	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.0877899953299982	0	-0.0877899953299982	MIXTURE
0.232784798881041	0.306715760323074	0.073930961442033	MIXTURE
0	0.182371961341869	0.182371961341869	MIXTURE
0.162385898940477	0	-0.162385898940477	MIXTURE
0	0.0755860687334174	0.0755860687334174	MIXTURE
0.675324925180265	0.603586849898147	-0.0717380752821175	MIXTURE
0.533517287407798	0.484208539451226	-0.0493087479565724	MIXTURE
0.205298677195497	0.442647341586802	0.237348664391305	MIXTURE
0	0.180774237400974	0.180774237400974	MIXTURE
0.29382186140738	0.29261136274888	-0.00121049865850004	MIXTURE
0	0	0	MIXTURE
0.691023641360286	0.313907820338537	-0.377115821021749	MIXTURE
0	0	0	MIXTURE
0.472334619410302	0.411917022687081	-0.0604175967232211	MIXTURE
0	0.105393111717227	0.105393111717227	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.135441791602534	0	-0.135441791602534	MIXTURE
0	0	0	MIXTURE
0.498593516095974	0.533046469523715	0.0344529534277408	MIXTURE
0	0	0	MIXTURE
0.146701930623017	0	-0.146701930623017	MIXTURE
0.232852453709838	0.392567608636172	0.159715154926334	MIXTURE
0	0	0	MIXTURE
0.343672027029207	0	-0.343672027029207	MIXTURE
0	0.1509829574621	0.1509829574621	MIXTURE
0.303983819615587	0.185692916004486	-0.118290903611101	MIXTURE
0.0716685220914976	0.182381366484011	0.110712844392513	MIXTURE
0	0.363102996167775	0.363102996167775	MIXTURE
0	0.258750638403921	0.258750638403921	MIXTURE
0.372357258180722	0	-0.372357258180722	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.402253093146019	0.402253093146019	MIXTURE
0.13052896847685	0.287030863863848	0.156501895386998	MIXTURE
0.224190850501841	0.178676253939317	-0.0455145965625236	MIXTURE
0.233860036916394	0.407442567525226	0.173582530608832	MIXTURE
0.432356901841604	0.42519072877229	-0.00716617306931416	MIXTURE
0	0	0	MIXTURE
0	0.315464394146141	0.315464394146141	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.510431459444756	0.324310608311946	-0.18612085113281	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.311168112297581	0.311168112297581	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.285143837398431	0.285143837398431	MIXTURE
0	0.248465677766638	0.248465677766638	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.019611480620943	0.019611480620943	MIXTURE
0.336307377916673	0.263585542833321	-0.0727218350833518	MIXTURE
0.145240880999226	0.145578651089454	0.00033777009022759	MIXTURE
0.481427951825413	0.573610118217675	0.092182166392262	MIXTURE
0.294908588367851	0.294779515337844	-0.000129073030007198	MIXTURE
0.183669387320144	0	-0.183669387320144	MIXTURE
0.391141397137579	0.311482041139978	-0.0796593559976012	MIXTURE
0.328871528281433	0.565386852017417	0.236515323735984	MIXTURE
0.234358711282408	0.454909546798045	0.220550835515637	MIXTURE
0.114178832214514	0.247666918495458	0.133488086280944	MIXTURE
0.230299190368363	0.365328623092479	0.135029432724116	MIXTURE
0.0934264839056396	0.109630414126881	0.0162039302212417	MIXTURE
0.251904807923732	0	-0.251904807923732	MIXTURE
0.33329191517264	0.415566896876914	0.0822749817042738	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.376098999236794	0.376098999236794	MIXTURE
0.243540861076512	0.246920209987791	0.00337934891127914	MIXTURE
0.155346245067533	0.198454048823754	0.0431078037562212	MIXTURE
0	0	0	MIXTURE
0	0.161320063598252	0.161320063598252	MIXTURE
0.36584997461201	0.12732719771074	-0.23852277690127	MIXTURE
0	0	0	MIXTURE
0.280875602093997	0	-0.280875602093997	MIXTURE
0	0	0	MIXTURE
0.300226495054175	0.0681373721367398	-0.232089122917435	MIXTURE
0.419861965078355	0.374120808072173	-0.0457411570061817	MIXTURE
0.679780050774008	0.360184312414794	-0.319595738359214	MIXTURE
0	0	0	MIXTURE
0.24681084370185	0.375033045559894	0.128222201858044	MIXTURE
0	0.29175100291684	0.29175100291684	MIXTURE
0	0.142810066661504	0.142810066661504	MIXTURE
0.450856498888189	0.420526945168191	-0.0303295537199983	MIXTURE
0.378630584724011	0	-0.378630584724011	MIXTURE
0	0.533577089889275	0.533577089889275	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.620364964433326	0.620364964433326	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.330353919270766	0.330353919270766	MIXTURE
0	0.386905426294253	0.386905426294253	MIXTURE
0	0	0	MIXTURE
0.406463080989955	0.406716851317243	0.000253770327287683	MIXTURE
0.172423008669381	0.172520835644867	9.78269754858263e-05	MIXTURE
0	0.244515303812549	0.244515303812549	MIXTURE
0	0.0490092871562687	0.0490092871562687	MIXTURE
0.256061154172254	0.0662858369550523	-0.189775317217202	MIXTURE
0	0	0	MIXTURE
0	0.121503009717143	0.121503009717143	MIXTURE
0.230472421986225	0.230496316716397	2.38947301723358e-05	MIXTURE
0.307335431002456	0	-0.307335431002456	MIXTURE
0	0	0	MIXTURE
0.379125588523246	0.610971943651917	0.231846355128671	MIXTURE
0.227770707994511	0.1995748814379	-0.028195826556611	MIXTURE
0	0.197761150603968	0.197761150603968	MIXTURE
0.307039233782318	0.178375788974394	-0.128663444807924	MIXTURE
0	0	0	MIXTURE
0.234025513474664	0.0517944377403396	-0.182231075734324	MIXTURE
0	0	0	MIXTURE
0	0.122509602475723	0.122509602475723	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.293535132870633	0	-0.293535132870633	MIXTURE
0	0	0	MIXTURE
0.158923218050769	0	-0.158923218050769	MIXTURE
0.400446977869663	0.3902634289404	-0.0101835489292631	MIXTURE
0.294834473426922	0.0698374159288975	-0.224997057498024	MIXTURE
0.311130632823783	0.478194723189994	0.167064090366211	MIXTURE
0	0.489069302334548	0.489069302334548	MIXTURE
0	0	0	MIXTURE
0.714274858901805	0.562805821835756	-0.151469037066049	MIXTURE
0	0.29632954920682	0.29632954920682	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.264069186735408	0.478325294798506	0.214256108063098	MIXTURE
0.32320762221235	0.300040879611161	-0.0231667426011891	MIXTURE
0.142086134839193	0	-0.142086134839193	MIXTURE
0.344325946216273	0.0634256015460811	-0.280900344670192	MIXTURE
0	0.230120346673671	0.230120346673671	MIXTURE
0.311947567042381	0.398313563387266	0.086365996344885	MIXTURE
0.214611036624193	0.712759219625471	0.498148183001278	MIXTURE
