betasim	betahat	difs	Method
0	0	0	MIXTURE
0	0.0931656497889351	0.0931656497889351	MIXTURE
0	0	0	MIXTURE
0	0.104577609920595	0.104577609920595	MIXTURE
0.358226625249455	0.622332481212801	0.264105855963346	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.393823998338461	0.394012653973951	0.000188655635489643	MIXTURE
0.249941854550285	0.249934683592641	-7.17095764388165e-06	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.169350335732108	0.169381047014408	3.07112823003386e-05	MIXTURE
0.502172206344462	0.502073644405173	-9.85619392889214e-05	MIXTURE
0	0.223841675254307	0.223841675254307	MIXTURE
0	0.138258151603989	0.138258151603989	MIXTURE
0.153499155931656	0.153573766590738	7.46106590820694e-05	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.112553200202337	0.112484233531821	-6.89666705161324e-05	MIXTURE
0.24167207366152	0.241558990892945	-0.000113082768574718	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.687096297584624	0.680645313259349	-0.00645098432527524	MIXTURE
0	0	0	MIXTURE
0.125354269166346	0.297317099122703	0.171962829956357	MIXTURE
0.202937662393656	0.203083041596174	0.000145379202518114	MIXTURE
0.539167656241817	0.53891646349787	-0.000251192743946915	MIXTURE
0.317335550140524	0.317492873233523	0.000157323092998818	MIXTURE
0.217383448190381	0.217232080204803	-0.000151367985577994	MIXTURE
0	0	0	MIXTURE
0.200811395325219	0.200910825099189	9.94297739697891e-05	MIXTURE
0	0	0	MIXTURE
0.315088596998487	0.267308430655382	-0.0477801663431055	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.0587626514074388	0.0587626514074388	MIXTURE
0.401069733695556	0.340650653080236	-0.0604190806153203	MIXTURE
0.36253811991802	0.295514656951697	-0.0670234629663225	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.238030675089837	0.238030675089837	MIXTURE
0.402543858164499	0.493518915117192	0.0909750569526929	MIXTURE
0.470498671680838	0.47066524684853	0.000166575167692473	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.156360826356972	0.156362521712609	1.69535563651624e-06	MIXTURE
0.37538384753189	0.37538423444119	3.86909299654459e-07	MIXTURE
0	0	0	MIXTURE
0.221571313542751	0.221748910852093	0.000177597309341998	MIXTURE
0	0	0	MIXTURE
0.240416987163336	0.240645003731395	0.000228016568058903	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.432826949715564	0.432826933985001	-1.57305626857784e-08	MIXTURE
0	0	0	MIXTURE
0.302841192617277	0.302839372221812	-1.82039546497981e-06	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.118174884210444	0.11805914670555	-0.000115737504893923	MIXTURE
0.221895485953389	0.221965480715555	6.99947621662089e-05	MIXTURE
0	0	0	MIXTURE
0.199026948920924	0.198970606316856	-5.63426040682269e-05	MIXTURE
0	0.227784121610924	0.227784121610924	MIXTURE
0.324768762973438	0.264699197541719	-0.0600695654317189	MIXTURE
0.262203590457065	0.262181028302481	-2.25621545844601e-05	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
