Mixture,B cell,Dendritic cell,Macrophage,Neutrophil,T cell,Basophil,Monocyte,NK cell,P-value,Correlation,RMSE
B cell,0.998594523199643,0.000353634531857037,0,0,0.000143925956586805,0,0.000907916311912774,0,0,0.63994968024717,0.908844600094494
Neutrophil progenitor,0.00043496887335225,0.00100887931624596,0.143077139193293,0.855479012617109,0,0,0,0,0,0.418743362137895,1.08196311163889
T cell,0,0,0.166588771578954,0,0.578677308972328,0.0427577995601997,0.156775627335267,0.0552004925532508,0,0.49782727131342,0.887667788296715
Dendritic cell,0.201192947605289,0.512484939621248,0.00359093729763273,0.160750348972491,0.102237137472357,0.0197436890309822,0,0,0,0.623839022242626,0.79571644509339
Macrophage,0,0.0384186265679008,0.7573036743484,0.103544893636167,0.0248086047531934,0.0722383445868711,0,0.00368585610746737,0,0.397385790017416,0.98195407333878
1,0.998594523199643,0.000353634531857037,0,0,0.000143925956586805,0,0.000907916311912774,0,0,0.63994968024717,0.908844600094494
2,0.998594523199643,0.000353634531857037,0,0,0.000143925956586805,0,0.000907916311912774,0,0,0.63994968024717,0.908844600094494
3,0.998594523199643,0.000353634531857037,0,0,0.000143925956586805,0,0.000907916311912774,0,0,0.63994968024717,0.908844600094494
