Mixture,B cell,Dendritic cell,Macrophage,T cell,Basophil,Monocyte,Neutrophil,NK cell,P-value,Correlation,RMSE
Macrophage,0.0487947203878335,0,0.504724649978816,0.222841484257761,0.212954043301453,0,0,0.0106851020741369,0,0.474185040418865,0.912752995604788
T cell,0,0.155734842630569,0.00287292435074873,0.520288224250184,0.174046124492366,0.0390669567003984,0,0.107990927575734,0,0.457764221647803,0.954184029225375
1,0.0487947203878335,0,0.504724649978816,0.222841484257761,0.212954043301453,0,0,0.0106851020741369,0,0.474185040418865,0.912752995604788
2,0.0487947203878335,0,0.504724649978816,0.222841484257761,0.212954043301453,0,0,0.0106851020741369,0,0.474185040418865,0.912752995604788
3,0.0487947203878335,0,0.504724649978816,0.222841484257761,0.212954043301453,0,0,0.0106851020741369,0,0.474185040418865,0.912752995604788
4,0.0487947203878335,0,0.504724649978816,0.222841484257761,0.212954043301453,0,0,0.0106851020741369,0,0.474185040418865,0.912752995604788
5,0.0487947203878335,0,0.504724649978816,0.222841484257761,0.212954043301453,0,0,0.0106851020741369,0,0.474185040418865,0.912752995604788
6,0.0487947203878335,0,0.504724649978816,0.222841484257761,0.212954043301453,0,0,0.0106851020741369,0,0.474185040418865,0.912752995604788
