Mixture,B cell,Dendritic cell,Macrophage,Neutrophil,NK cell,T cell,Basophil,Monocyte,P-value,Correlation,RMSE
B cell,0.18897224781931,0.0878496599991002,0,0.320323291561118,0,0.163093132892062,0,0.23976166772841,0,0.129648444986286,1.1344100042632
T cell,0.0143770791062821,0.0647099969233685,0.472174815816162,0,0.323884131226618,0,0.12485397692757,0,0,0.274313826540046,1.05368962786638
Dendritic cell,0.0896675831494329,0.468181389673766,0,0,0.248672262272278,0,0.193478764904523,0,0,0.287092217469098,1.02024028348413
Macrophage,0,0,0.874454720609456,0,0.0322812263289062,0,0.0932640530616381,0,0,0.495618148224685,0.898971292553379
1,0.18897224781931,0.0878496599991002,0,0.320323291561118,0,0.163093132892062,0,0.23976166772841,0,0.129648444986286,1.1344100042632
2,0.18897224781931,0.0878496599991002,0,0.320323291561118,0,0.163093132892062,0,0.23976166772841,0,0.129648444986286,1.1344100042632
3,0.18897224781931,0.0878496599991002,0,0.320323291561118,0,0.163093132892062,0,0.23976166772841,0,0.129648444986286,1.1344100042632
4,0.18897224781931,0.0878496599991002,0,0.320323291561118,0,0.163093132892062,0,0.23976166772841,0,0.129648444986286,1.1344100042632
5,0.18897224781931,0.0878496599991002,0,0.320323291561118,0,0.163093132892062,0,0.23976166772841,0,0.129648444986286,1.1344100042632
