Mixture,B cell,Dendritic cell,Macrophage,NK cell,T cell,Basophil,Monocyte,Neutrophil,P-value,Correlation,RMSE
Macrophage,0.173859221190132,0.0897859100962177,0.514714330136608,0,0,0.123354566489096,0.0982859720879473,0,0,0.389536633697027,0.987681196338983
Dendritic cell,0,0.6801091148594,0,0.0321299423825337,0.0548015847620176,0.0976816528793359,0.135277705116713,0,0,0.400047563844838,0.983691942595145
B cell,0.712069995992361,0.0253711230551545,0,0,0.109025923971635,0.0894050540215953,0.0641279029592549,0,0,0.608043180429627,0.800684585262175
NK cell,0.0892870793656155,0.0889849419560872,0.00525232189168682,0.574350445818453,0,0.183849571742478,0.0582756392256791,0,0,0.476552314383317,0.929856080648931
T cell,0,0.0728265020756812,0,0.157413279463323,0.626286311961711,0.104042787582605,0.0394311189166806,0,0,0.560762183438913,0.852594580462141
1,0.173859221190132,0.0897859100962177,0.514714330136608,0,0,0.123354566489096,0.0982859720879473,0,0,0.389536633697027,0.987681196338983
2,0.173859221190132,0.0897859100962177,0.514714330136608,0,0,0.123354566489096,0.0982859720879473,0,0,0.389536633697027,0.987681196338983
3,0.173859221190132,0.0897859100962177,0.514714330136608,0,0,0.123354566489096,0.0982859720879473,0,0,0.389536633697027,0.987681196338983
