Mixture,B cell,Dendritic cell,Macrophage,NK cell,T cell,Basophil,Monocyte,Neutrophil,P-value,Correlation,RMSE
B.cell,0.669773298668431,0,0,0,0.0289505462783001,0.161028000366705,0.140248154686565,0,0,0.145473231932159,1.09057499055426
Dendritic.cell,0.558639532404499,0.182530523427062,0,0,0,0.193547960610542,0.0198322679530677,0.0454497156048287,0,0.299049522982846,1.01450471590818
Macrophage,0.317224018947021,0.0779278301559562,0.340725089526516,0,0,0.234946220051335,0,0.029176841319172,0,0.33628404546022,1.00130406368018
NK.cell,0,0.272912165923275,0,0.123011602654766,0.197061517093726,0.37855708827235,0.0284576260558836,0,0,0.347759558279939,0.986795391158901
T.cell,0.379537073971982,0.0764071495232174,0,0,0.30859134154809,0.0460367364562706,0.174154692774758,0.0152730057256825,0,0.395414203691996,0.948485652222448
