Mixture,B cell,Dendritic cell,Macrophage,Neutrophil,T cell,Basophil,Monocyte,NK cell,P-value,Correlation,RMSE
B.cell,0.998427790645803,0.000152217734617535,0,0,0.00027844560051901,0,0.00114154601906063,0,0,0.573969687283779,0.963348343225625
Dendritic.cell,0.171825283671348,0.698774342424579,0.002085824498722,0.102423277705515,0.0235385528784468,0.00135271882138884,0,0,0,0.56806923582521,0.84860046242086
Macrophage,0.0274331120771643,0.0243521048635465,0.735658245511184,0.100533499872616,0.0240947503420108,0.0663380105757416,0.0155204650761995,0.00606981168153715,0,0.39713999926608,0.974689262702125
Neutrophil,0.0894953630527219,0.126536571964558,0.061024460112797,0.72261216420921,0.00033144066071289,0,0,0,0,0.490516971059116,0.970610488591737
T.cell,0,0,0.179435303598504,0,0.534926504926245,0.0402237505220954,0.181674831048556,0.0637396099045998,0,0.49878388984098,0.881700046014947
