Mixture,B cell,Dendritic cell,Macrophage,Neutrophil,NK cell,T cell,Basophil,Monocyte,P-value,Correlation,RMSE
B.cell,0.64946486127687,0,0.149957597631826,0.106483942255335,0,0,0.0940935988359685,0,0,0.401968020884177,0.98484877523361
Dendritic.cell,0.0417820631751157,0.425104353243851,0.329535936119534,0.092734427620609,0.05178005108225,0,0.0590631687586407,0,0,0.464412655384204,0.925378428724955
Neutrophil,0.0783584869324734,0,0.174153474563678,0.220993528688782,0.0301019482173992,0,0.496392561597667,0,0,0.444572202637574,0.954360787718837
T.cell,0,0,0.243422011291265,0.0716154464877602,0.288894353378949,0.31637913336229,0.0796890554797351,0,0,0.525004938001899,0.895246479048561
Macrophage,0,0,0.799705910531861,0.0517199854634355,0.0499148794994529,0,0.0626628648307388,0.0359963596745119,0,0.539004378017247,0.864450551503312
