Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	Basophil	NK.cell	T.cell	P-value	Correlation	RMSE
B.cell	0.981523861719679	0.00948530124076809	0	0.00401586229220075	0.00377748936570128	0	0.00119748538165082	0	0	0.408535161041601	1.02605825171574
Dendritic.cell	0.00053115927403727	0.995215363023567	0	0.000391918086083512	0.000932454289168217	0.000196022897376991	0.00273308242976683	0	0	0.460753246093689	1.08139459020299
Macrophage	0	0.374523903376275	0.43648185783563	0.138014400096305	0.00853537860399115	0.0349225765869767	0.00752188350082255	0	0	0.364897930708633	1.02724281300447
Monocyte	0	0	0	0.992975119153172	0	0.00144236471684645	0.00558251612998109	0	0	0.434720241517345	1.05316540349664
Neutrophil	0	0.120235922416921	0	0	0.848651961868359	0.0298683892365361	0	0.00124372647818415	0	0.486832087961076	1.02436650629835
Basophil	0	0.199674618358412	0	0.024507501032492	0	0.761779356695402	0.0140385239136939	0	0	0.533002607380357	0.917067613326501
NK.cell	0	0	0.0683035979454774	0	0.0180428001919861	0	0.913653601862537	0	0	0.397399966388272	1.13870938488281
T.cell	0	0.00989188374928988	0	0.0422111284002114	0.0340763384974245	0.0056671468706511	0	0.908153502482423	0	0.371124171345509	1.04356382940735
