Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
B.cell	0.861193022102673	0	0.00174530138203044	0.00668405697702821	0.130377619538269	0	0	0	0	0.398950644792881	1.01133446182442
Dendritic.cell	0.0652084591065231	0.62895601038464	0	0.0785551748420237	0.164435339792132	0.00987570839908117	0.000156127634385694	0.0528131798412146	0	0.320505987077093	1.06177349147171
Macrophage	0	0.00648060999594513	0.609976978082276	0.305676798037773	0.00949428192673405	0.000498803567120622	0.00820065315586222	0.0596718752342885	0	0.327729114505078	1.0904271482428
Monocyte	0.0706279985744916	0.0244710173015598	0.0397769426476904	0.540477232646012	0.179047373556474	0.122332141466681	0	0.0232672938070915	0	0.310286690162616	1.0860103806071
Neutrophil	0.014057094020656	0.0364450418196617	0	0.0315302469602691	0.398280388512201	0.116731664827282	0.0315052548401758	0.371450309019755	0	0.512570916300852	0.916736088777913
NK.cell	0	0	0.018940509772107	0.00169142408079871	0.0401067199870813	0.939261346160013	0	0	0	0.371346196049787	1.1700361544985
T.cell	0	0.0335811200068102	0.0550866232120269	0	0.102469695730175	0	0.808862561050988	0	0	0.358075922778683	1.04694749506055
Basophil	0	0	0	0.0281144334393196	0.151063102486267	0.054570600489204	0	0.766251863585209	0	0.562244815568675	0.893112370545624
