Mixture	B.cell	Dendritic.cell	Macrophage	Neutrophil	NK.cell	T.cell	Basophil	Monocyte	P-value	Correlation	RMSE
B.cell	0.925833064569294	0.00479550494294758	0.0255758316339605	0.0327629649862524	0.0110326338675455	0	0	0	0	0.354189983415247	1.07732671583795
Dendritic.cell	0.000540761024576954	0.664582204654126	0.196166120029661	0.0511340947856605	0.0875768195059757	0	0	0	0	0.350093421138602	1.04189903320234
Macrophage	0.0228303170042218	0	0.837093109568225	0.00999544520757383	0.110957898624021	0	0.0079509793135884	0.0111722502823701	0	0.420282766970657	0.980693560243448
Neutrophil	0.0110668384228858	0	0.238165207470023	0.560358774992	0.00854250966590355	0	0.181866669449188	0	0	0.417555793817326	1.02383160247723
NK.cell	0	0	0	0	0.984248530165517	0.0121540030579321	0.00272256359967103	0.000874903176880327	0	0.398385281308795	1.2110194883715
T.cell	0.00116703243060571	0.00193319653775324	0	0.0125536672211921	0.0472115333572424	0.921102366464992	0.00215780023921307	0.0138744037490014	0	0.364678819913744	1.12530263825614
Basophil	0	0.0232694068739999	0	0.00986399562564787	0.0432649192759838	0	0.851584365555309	0.0720173126690594	0	0.531762168558273	0.945332958144239
Monocyte	0.00171307993385602	0	0	0	0	0	0.0290132714147237	0.96927364865142	0	0.396957972266893	1.04026441925387
