Mixture	B.cell	Dendritic.cell	Macrophage	NK.cell	T.cell	Basophil	Monocyte	Neutrophil	P-value	Correlation	RMSE
B.cell	0.740288910820367	0	0.0245991495498007	0	0.183538155922524	0	0.0515737837073087	0	0	0.362458304078135	1.02614524976132
Dendritic.cell	0	0.377170882209445	0.00335260590101188	0	0.485384086219244	0.0559333409670764	0.0781590847032233	0	0	0.391205647161836	0.991637927402727
Macrophage	0	0.112456999273642	0.527356968627892	0	0.156974025721165	0.150635826239143	0.0525761801381575	0	0	0.360240703713229	1.01588292915195
NK.cell	0	0.0416892360402788	0	0.569996953198819	0.260123577354034	0.105343644540395	0.022846588866473	0	0	0.380131770219586	1.04847399418497
T.cell	0	0	0.00785406332967959	0.0391928816894588	0.910554984295583	0.0423980706852781	0	0	0	0.379521750052036	1.03246910309441
Basophil	0	0.0492425975946811	0.0301617544020702	0.125106139514371	0	0.64575439651024	0.0744510301277152	0.0752840818509233	0	0.532196030548983	0.905395994300149
Monocyte	0	0	0.00934636979048381	0.0232201266200588	0	0	0.898193620125366	0.0692398834640918	0	0.413730164992646	1.05950427887876
Neutrophil	0	0	0	0.0776633929750958	0	0.273863710321313	0.0109650878965884	0.637507808807003	0	0.528359797608541	0.930366123169476
